Run 1:
steps=100 success=0
5 5
6 5
6 4
5 4
5 5
4 5
4 4
4 3
4 4
4 5
3 5
2 5
1 5
2 5
1 5
1 6
1 5
0 5
1 5
2 5
2 6
2 7
1 7
1 8
1 7
2 7
3 7
2 7
1 7
0 7
10 7
0 7
1 7
1 8
1 7
2 7
2 6
2 5
2 6
2 5
2 4
2 5
1 5
1 6
2 6
3 6
3 5
3 6
2 6
2 5
1 5
0 5
1 5
1 6
2 6
3 6
4 6
5 6
5 7
4 7
3 7
4 7
4 6
3 6
4 6
3 6
3 5
3 6
3 5
4 5
5 5
5 4
6 4
5 4
6 4
5 4
5 5
6 5
6 6
6 7
7 7
6 7
5 7
5 8
6 8
7 8
7 7
6 7
7 7
7 6
7 7
7 6
7 5
7 6
8 6
7 6
8 6
9 6
9 7
9 6
8 6
---
Run 2:
steps=100 success=0
5 5
4 5
5 5
4 5
5 5
4 5
4 6
5 6
5 7
5 8
5 7
4 7
4 6
4 5
4 6
4 7
3 7
2 7
2 8
2 9
2 8
2 7
3 7
3 8
3 9
3 8
3 7
2 7
2 8
1 8
2 8
3 8
2 8
2 7
2 6
1 6
2 6
2 7
2 6
1 6
1 7
1 8
2 8
1 8
1 7
2 7
2 6
1 6
1 5
0 5
0 4
0 3
1 3
0 3
0 4
10 4
0 4
0 3
0 2
0 1
1 1
1 2
1 1
1 0
1 1
1 0
1 10
2 10
2 9
1 9
1 10
1 9
1 10
1 9
1 10
1 0
1 10
2 10
1 10
1 0
1 1
2 1
2 2
2 1
1 1
2 1
1 1
1 0
1 10
2 10
2 9
1 9
2 9
1 9
2 9
2 8
1 8
2 8
2 9
1 9
1 10
---
Run 3:
steps=100 success=0
5 5
5 4
5 5
5 6
5 5
6 5
6 4
6 3
6 4
6 5
6 6
6 7
6 8
5 8
5 7
6 7
6 8
6 9
6 8
6 7
6 6
6 7
5 7
5 8
5 9
6 9
5 9
5 10
5 9
4 9
4 10
4 0
4 10
3 10
4 10
5 10
4 10
3 10
2 10
1 10
1 9
2 9
2 8
2 7
3 7
2 7
1 7
2 7
3 7
4 7
5 7
4 7
3 7
3 8
2 8
3 8
4 8
4 7
3 7
4 7
4 6
5 6
6 6
7 6
7 5
7 6
7 5
6 5
7 5
7 6
8 6
8 5
7 5
6 5
6 6
6 5
6 6
6 5
7 5
7 6
7 7
7 8
6 8
6 9
5 9
5 10
5 9
5 10
5 9
4 9
4 10
4 9
4 8
3 8
4 8
3 8
3 9
3 10
3 0
4 0
4 10
---
Run 4:
steps=100 success=0
5 5
6 5
7 5
6 5
5 5
4 5
4 4
5 4
5 5
6 5
6 4
6 3
7 3
8 3
9 3
9 4
10 4
10 5
0 5
0 4
0 3
10 3
0 3
0 4
10 4
9 4
10 4
9 4
8 4
8 3
9 3
10 3
0 3
0 4
0 5
10 5
10 6
10 7
9 7
9 6
8 6
8 5
8 6
9 6
9 7
9 6
8 6
8 5
9 5
8 5
8 6
7 6
8 6
8 5
8 6
7 6
7 5
7 6
7 5
8 5
7 5
6 5
6 4
5 4
5 5
5 4
6 4
6 3
7 3
7 2
8 2
7 2
8 2
9 2
9 1
8 1
9 1
10 1
0 1
10 1
10 0
10 10
10 0
10 1
9 1
9 2
9 1
9 0
8 0
8 10
7 10
7 0
8 0
9 0
10 0
10 10
10 9
10 10
10 9
10 10
10 0
---
Run 5:
steps=48 success=1
5 5
6 5
6 4
6 3
7 3
7 2
7 3
7 2
7 1
6 1
7 1
7 0
7 10
7 9
8 9
8 10
8 9
7 9
7 8
8 8
7 8
8 8
9 8
9 7
9 6
9 5
10 5
0 5
0 4
0 3
10 3
10 2
10 1
9 1
9 0
8 0
8 1
8 2
7 2
8 2
8 3
9 3
9 2
10 2
9 2
10 2
10 1
0 1
0 0
---
Run 6:
steps=75 success=1
5 5
5 6
4 6
4 7
3 7
3 8
2 8
2 9
3 9
3 10
3 9
3 8
4 8
4 9
3 9
4 9
4 8
4 7
5 7
5 6
4 6
3 6
4 6
4 5
5 5
4 5
4 4
4 5
5 5
5 6
4 6
4 7
5 7
5 8
6 8
6 9
5 9
6 9
5 9
4 9
4 8
4 9
4 8
5 8
6 8
6 7
5 7
4 7
5 7
4 7
4 8
4 9
3 9
3 8
3 7
3 8
2 8
2 9
2 10
2 9
3 9
2 9
1 9
0 9
0 8
1 8
2 8
2 9
3 9
2 9
2 10
1 10
1 9
1 10
0 10
0 0
---
Run 7:
steps=100 success=0
5 5
5 4
6 4
5 4
4 4
5 4
6 4
5 4
4 4
5 4
5 5
5 4
4 4
3 4
3 5
4 5
3 5
3 4
3 3
2 3
3 3
4 3
3 3
3 4
3 5
2 5
1 5
2 5
2 4
2 3
2 4
2 3
2 2
1 2
1 1
2 1
2 2
2 3
2 4
2 3
2 2
3 2
3 3
3 2
4 2
4 3
4 4
3 4
2 4
2 5
3 5
4 5
5 5
5 4
5 5
6 5
7 5
7 6
6 6
5 6
5 5
6 5
6 6
6 5
5 5
5 4
4 4
4 5
4 6
3 6
3 5
3 4
3 5
3 6
3 5
4 5
5 5
4 5
4 6
5 6
4 6
5 6
5 7
5 8
6 8
6 9
7 9
7 10
7 9
8 9
7 9
7 8
8 8
9 8
8 8
7 8
7 9
7 10
8 10
7 10
8 10
---
Run 8:
steps=100 success=0
5 5
6 5
6 6
6 7
6 6
7 6
7 7
7 6
7 5
8 5
7 5
6 5
6 4
6 3
7 3
7 2
8 2
7 2
7 1
7 2
7 1
8 1
9 1
8 1
8 2
7 2
7 3
6 3
6 4
6 5
7 5
7 6
6 6
6 5
5 5
6 5
7 5
8 5
7 5
6 5
6 4
5 4
4 4
4 5
4 6
4 5
4 4
5 4
6 4
6 5
5 5
6 5
5 5
5 4
6 4
5 4
6 4
6 3
6 4
5 4
5 5
5 4
5 5
6 5
6 4
6 3
6 4
5 4
6 4
6 3
7 3
6 3
7 3
7 2
7 1
7 2
7 3
6 3
6 4
5 4
5 5
4 5
3 5
3 4
2 4
3 4
2 4
2 5
2 6
2 7
1 7
1 6
1 7
0 7
0 8
1 8
1 9
2 9
2 10
2 9
3 9
---
Run 9:
steps=40 success=1
5 5
6 5
7 5
8 5
8 6
7 6
6 6
7 6
6 6
6 7
6 8
6 9
6 8
6 9
7 9
7 10
8 10
8 0
8 10
8 9
7 9
7 8
7 9
8 9
8 8
8 9
9 9
10 9
9 9
10 9
0 9
10 9
9 9
9 8
9 9
8 9
9 9
10 9
0 9
0 10
0 0
---
Run 10:
steps=34 success=1
5 5
5 4
6 4
6 5
7 5
7 6
7 7
6 7
7 7
7 6
7 5
8 5
8 6
7 6
7 7
6 7
7 7
6 7
7 7
7 8
8 8
9 8
9 9
8 9
7 9
6 9
7 9
7 10
8 10
8 9
9 9
10 9
10 10
0 10
0 0
---
Run 11:
steps=39 success=1
5 5
5 6
6 6
6 5
6 4
6 3
7 3
7 2
7 3
7 2
7 1
7 0
8 0
8 1
8 2
7 2
8 2
8 1
8 2
7 2
7 1
6 1
7 1
6 1
5 1
6 1
6 0
6 1
6 0
7 0
8 0
8 1
9 1
10 1
0 1
1 1
2 1
1 1
1 0
0 0
---
Run 12:
steps=100 success=0
5 5
4 5
3 5
3 6
3 5
3 4
2 4
3 4
4 4
5 4
6 4
6 5
5 5
5 4
4 4
4 3
4 4
5 4
6 4
5 4
4 4
3 4
3 3
3 4
3 3
4 3
4 4
4 3
4 4
5 4
5 5
4 5
5 5
4 5
3 5
2 5
1 5
0 5
0 4
0 5
10 5
9 5
8 5
9 5
10 5
10 6
9 6
8 6
7 6
6 6
7 6
6 6
7 6
6 6
6 5
6 4
5 4
4 4
5 4
6 4
5 4
6 4
6 3
6 4
5 4
5 5
4 5
5 5
4 5
4 6
4 7
4 8
4 7
3 7
2 7
3 7
3 6
2 6
2 7
3 7
4 7
4 6
4 7
4 6
3 6
3 5
2 5
1 5
0 5
0 4
0 5
10 5
10 6
10 5
0 5
1 5
0 5
0 4
10 4
10 5
0 5
---
Run 13:
steps=100 success=0
5 5
6 5
7 5
7 6
7 5
6 5
5 5
5 4
6 4
6 5
6 4
6 3
7 3
6 3
6 4
5 4
4 4
5 4
6 4
5 4
6 4
6 5
5 5
5 6
4 6
5 6
4 6
4 5
4 6
3 6
3 7
4 7
4 6
3 6
3 5
2 5
3 5
4 5
4 6
4 5
4 4
4 5
3 5
4 5
5 5
4 5
4 6
3 6
3 7
4 7
4 6
4 7
3 7
3 6
3 7
2 7
2 8
2 9
2 10
3 10
4 10
5 10
4 10
3 10
2 10
1 10
1 9
1 8
2 8
3 8
3 9
3 8
2 8
2 7
1 7
2 7
3 7
4 7
4 6
4 7
4 6
4 5
3 5
4 5
3 5
2 5
2 6
2 7
3 7
3 6
3 7
3 8
4 8
4 7
5 7
6 7
6 6
6 7
6 8
6 7
5 7
---
Run 14:
steps=100 success=0
5 5
6 5
6 4
6 5
6 6
6 7
7 7
7 8
8 8
7 8
7 9
6 9
6 8
5 8
6 8
6 7
7 7
7 8
8 8
7 8
8 8
7 8
7 7
6 7
6 8
5 8
5 7
5 6
4 6
5 6
6 6
7 6
7 5
8 5
7 5
6 5
6 4
6 3
7 3
7 2
7 3
8 3
9 3
9 4
9 3
9 2
10 2
10 3
0 3
10 3
10 2
10 3
10 2
9 2
9 1
9 2
9 1
8 1
7 1
7 2
7 3
6 3
6 4
6 5
6 4
6 3
6 4
6 5
6 4
5 4
4 4
3 4
4 4
4 5
4 4
3 4
4 4
4 5
4 6
3 6
3 7
3 8
2 8
2 7
2 8
2 9
3 9
3 10
3 0
3 10
4 10
3 10
3 9
4 9
4 8
4 9
4 8
5 8
6 8
7 8
6 8
---
Run 15:
steps=100 success=0
5 5
6 5
7 5
6 5
6 4
6 3
7 3
7 2
7 3
8 3
8 4
8 5
8 6
9 6
8 6
9 6
8 6
8 5
8 4
9 4
9 5
9 6
9 5
9 6
9 7
9 8
8 8
9 8
9 9
8 9
9 9
8 9
7 9
7 10
8 10
7 10
7 9
7 8
7 7
6 7
7 7
7 6
6 6
7 6
7 7
6 7
7 7
7 8
7 7
7 8
8 8
9 8
8 8
9 8
8 8
8 9
8 8
7 8
8 8
9 8
9 7
9 8
9 9
9 8
9 7
9 8
8 8
9 8
9 7
9 6
10 6
10 5
10 6
9 6
9 5
9 4
8 4
8 3
7 3
6 3
6 4
6 5
5 5
5 4
5 5
5 4
4 4
4 3
4 2
3 2
4 2
4 3
3 3
3 4
2 4
3 4
3 3
4 3
3 3
3 2
4 2
---
Run 16:
steps=100 success=0
5 5
6 5
6 6
6 5
6 4
5 4
6 4
6 3
7 3
8 3
8 4
9 4
9 5
10 5
10 4
10 3
9 3
9 2
9 3
8 3
8 4
8 5
7 5
6 5
6 4
6 3
6 4
5 4
6 4
6 5
6 4
6 3
6 4
6 3
6 4
6 3
7 3
7 2
8 2
8 3
7 3
8 3
8 2
8 1
8 0
9 0
10 0
10 1
0 1
1 1
2 1
2 2
1 2
0 2
1 2
2 2
2 3
2 4
3 4
3 3
2 3
3 3
3 2
2 2
3 2
2 2
1 2
2 2
2 1
1 1
1 2
2 2
2 3
1 3
2 3
2 4
3 4
3 3
3 4
3 3
2 3
2 4
3 4
3 3
2 3
1 3
1 2
1 3
1 2
2 2
2 1
1 1
1 0
1 1
0 1
1 1
1 2
2 2
3 2
3 3
4 3
---
Run 17:
steps=100 success=0
5 5
5 6
5 5
5 4
5 5
6 5
6 4
6 5
6 6
7 6
8 6
7 6
8 6
8 5
8 4
9 4
9 5
9 4
8 4
8 5
7 5
7 6
8 6
8 5
8 4
9 4
9 3
9 4
9 3
9 4
8 4
9 4
9 3
8 3
8 4
8 5
9 5
9 6
10 6
10 5
10 4
10 5
10 4
10 5
9 5
10 5
0 5
0 4
0 3
0 4
10 4
9 4
9 5
10 5
10 4
10 3
10 2
10 3
10 4
10 3
9 3
10 3
10 4
0 4
0 5
1 5
0 5
10 5
10 6
9 6
9 5
9 4
10 4
9 4
9 5
10 5
9 5
10 5
0 5
0 4
0 5
0 4
0 3
0 4
10 4
10 3
9 3
10 3
9 3
8 3
8 4
8 5
8 6
9 6
9 5
9 4
10 4
9 4
10 4
10 3
10 2
---
Run 18:
steps=100 success=0
5 5
6 5
7 5
8 5
8 6
7 6
8 6
8 5
9 5
9 6
9 5
8 5
7 5
6 5
6 6
5 6
4 6
5 6
5 7
6 7
7 7
7 6
7 7
6 7
5 7
5 6
5 7
4 7
5 7
5 6
5 7
5 8
6 8
5 8
5 7
6 7
6 6
7 6
7 7
7 8
6 8
5 8
5 9
6 9
6 8
7 8
6 8
5 8
6 8
6 9
5 9
4 9
4 8
4 7
5 7
4 7
4 6
4 5
4 4
4 5
5 5
6 5
6 4
6 3
6 4
6 3
6 4
5 4
5 5
6 5
7 5
7 6
7 5
8 5
8 6
8 5
9 5
9 4
8 4
8 3
9 3
9 4
8 4
8 5
7 5
8 5
8 6
7 6
7 7
7 8
7 7
6 7
5 7
5 8
4 8
3 8
4 8
5 8
4 8
3 8
4 8
---
Run 19:
steps=49 success=1
5 5
5 6
4 6
4 7
5 7
4 7
3 7
2 7
3 7
3 8
3 7
4 7
4 6
4 5
5 5
5 6
5 7
4 7
4 6
3 6
2 6
2 5
1 5
2 5
2 4
2 5
2 4
2 5
1 5
2 5
2 6
3 6
2 6
1 6
2 6
3 6
2 6
2 7
2 8
2 9
2 10
2 9
1 9
1 10
1 0
1 1
0 1
10 1
10 0
0 0
---
Run 20:
steps=100 success=0
5 5
5 6
4 6
4 5
5 5
4 5
4 4
4 5
3 5
3 4
2 4
2 3
2 4
2 5
2 6
1 6
1 7
1 6
2 6
2 7
2 6
1 6
1 5
1 6
1 5
0 5
0 4
0 3
0 2
10 2
9 2
9 3
9 4
9 5
8 5
9 5
8 5
9 5
9 4
9 3
9 2
10 2
10 3
10 4
9 4
8 4
8 3
8 2
7 2
7 3
6 3
7 3
6 3
6 4
5 4
6 4
6 3
6 4
6 3
6 4
5 4
5 5
6 5
7 5
7 6
8 6
8 5
8 4
8 3
8 2
9 2
8 2
9 2
9 1
9 0
10 0
9 0
9 1
9 2
8 2
8 1
8 0
9 0
9 1
9 0
10 0
10 1
0 1
1 1
1 2
1 1
1 2
1 1
2 1
2 2
3 2
2 2
2 1
2 2
3 2
4 2
---
Run 21:
steps=100 success=0
5 5
6 5
6 4
6 3
6 4
5 4
6 4
5 4
4 4
4 3
3 3
4 3
4 2
5 2
5 1
6 1
7 1
8 1
8 2
7 2
7 1
7 2
7 3
8 3
7 3
8 3
8 4
8 3
8 4
9 4
9 3
8 3
7 3
7 2
7 3
6 3
6 4
5 4
6 4
6 5
5 5
5 4
5 5
6 5
7 5
6 5
6 6
6 7
7 7
